name,language,handwritten,year_range
41033.pdf,de,True,1845-1849
41051.pdf,de,True,1845-1849
41053.pdf,de,True,1845-1849
41025.pdf,de,True,1845-1849
41313.pdf,de,True,1855-1859
41324.pdf,de,True,1855-1859
41326.pdf,de,True,1855-1859
41233.pdf,de,True,1855-1859
41360.pdf,de,True,1855-1859
41226.pdf,de,True,1855-1859
41311.pdf,de,True,1855-1859
41334.pdf,de,True,1855-1859
41265.pdf,de,True,1855-1859
41251.pdf,de,True,1855-1859
41294.pdf,de,True,1855-1859
41277.pdf,de,True,1855-1859
41301.pdf,de,True,1855-1859
41289.pdf,de,True,1855-1859
41221.pdf,de,True,1855-1859
41253.pdf,de,True,1855-1859
41247.pdf,de,True,1855-1859
41270.pdf,de,True,1855-1859
41349.pdf,de,True,1855-1859
41325.pdf,de,True,1855-1859
41361.pdf,de,True,1855-1859
41302.pdf,de,True,1855-1859
41310.pdf,de,True,1855-1859
41322.pdf,de,True,1855-1859
41346.pdf,de,True,1855-1859
41235.pdf,de,True,1855-1859
41223.pdf,de,True,1855-1859
41338.pdf,de,True,1855-1859
41351.pdf,de,True,1855-1859
41345.pdf,de,True,1855-1859
41339.pdf,de,True,1855-1859
41280.pdf,de,True,1855-1859
41296.pdf,de,True,1855-1859
41261.pdf,de,True,1855-1859
41329.pdf,de,True,1855-1859
41260.pdf,de,True,1855-1859
41321.pdf,de,True,1855-1859
41269.pdf,de,True,1855-1859
41287.pdf,de,True,1855-1859
41273.pdf,de,True,1855-1859
41350.pdf,de,True,1855-1859
41234.pdf,de,True,1855-1859
41331.pdf,de,True,1855-1859
41320.pdf,de,True,1855-1859
41255.pdf,de,True,1855-1859
41308.pdf,de,True,1855-1859
41256.pdf,de,True,1855-1859
41222.pdf,de,True,1855-1859
41250.pdf,de,True,1855-1859
41327.pdf,de,True,1855-1859
41258.pdf,de,True,1855-1859
41249.pdf,de,True,1855-1859
41306.pdf,de,True,1855-1859
41357.pdf,de,True,1855-1859
41215.pdf,de,True,1855-1859
41224.pdf,de,True,1855-1859
41304.pdf,de,True,1855-1859
41337.pdf,de,True,1855-1859
41332.pdf,de,True,1855-1859
41305.pdf,de,True,1855-1859
